PlotID	ForestDiv	SpCode	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP100	Chikkamagalur	Acaccate	12	0	0	0	0
BSP100	Chikkamagalur	Acaccate	13	0	0	0	0
BSP100	Chikkamagalur	Acaccate	14	0	0	0	0
BSP100	Chikkamagalur	Acaccate	15	0	0	0	0
BSP100	Chikkamagalur	Acaccate	16	0	0	0	0
BSP100	Chikkamagalur	Acaccate	16	0	0	0	0
BSP100	Chikkamagalur	Acaccate	16	0	0	0	0
BSP100	Chikkamagalur	Acaccate	17	0	0	0	0
BSP100	Chikkamagalur	Acaccate	17	0	0	0	0
BSP100	Chikkamagalur	Acaccate	17	0	0	0	0
BSP100	Chikkamagalur	Acaccate	17	0	0	0	0
BSP100	Chikkamagalur	Acaccate	19	0	0	0	0
BSP100	Chikkamagalur	Acaccate	20	0	0	0	0
BSP100	Chikkamagalur	Acaccate	20	0	0	0	0
BSP100	Chikkamagalur	Acaccate	20	0	0	0	0
BSP100	Chikkamagalur	Acaccate	22	0	0	0	0
BSP100	Chikkamagalur	Acaccate	23	0	0	0	0
BSP100	Chikkamagalur	Acaccate	23	0	0	0	0
BSP100	Chikkamagalur	Acaccate	23	0	0	0	0
BSP100	Chikkamagalur	Acaccate	24	0	0	0	0
BSP100	Chikkamagalur	Acaccate	24	0	0	0	0
BSP100	Chikkamagalur	Acaccate	25	0	0	0	0
BSP100	Chikkamagalur	Acaccate	25	0	0	0	0
BSP100	Chikkamagalur	Acaccate	25	0	0	0	0
BSP100	Chikkamagalur	Acaccate	25	0	0	0	0
BSP100	Chikkamagalur	Acaccate	26	0	0	0	0
BSP100	Chikkamagalur	Acaccate	26	0	0	0	0
BSP100	Chikkamagalur	Acaccate	27	0	0	0	0
BSP100	Chikkamagalur	Acaccate	27	0	0	0	0
BSP100	Chikkamagalur	Acaccate	27	0	0	0	0
BSP100	Chikkamagalur	Acaccate	28	0	0	0	0
BSP100	Chikkamagalur	Acaccate	29	24	0	0	0
BSP100	Chikkamagalur	Acaccate	29	14	0	0	0
BSP100	Chikkamagalur	Acaccate	29	0	0	0	0
