PlotID	ForestDiv	SpCode	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP65	Kalasa	Actibour	15	0	0	0	0
BSP65	Kalasa	Actibour	15	0	0	0	0
BSP65	Kalasa	Actibour	15	0	0	0	0
BSP65	Kalasa	Actibour	15	0	0	0	0
BSP65	Kalasa	Actibour	15	0	0	0	0
BSP65	Kalasa	Actibour	15	0	0	0	0
BSP65	Kalasa	Actibour	16	0	0	0	0
BSP65	Kalasa	Actibour	16	0	0	0	0
BSP65	Kalasa	Actibour	16	0	0	0	0
BSP65	Kalasa	Actibour	16	0	0	0	0
BSP65	Kalasa	Actibour	17	0	0	0	0
BSP65	Kalasa	Actibour	17	0	0	0	0
BSP65	Kalasa	Actibour	17	0	0	0	0
BSP65	Kalasa	Actibour	17	0	0	0	0
BSP65	Kalasa	Actibour	18	0	0	0	0
BSP65	Kalasa	Actibour	18	0	0	0	0
BSP65	Kalasa	Actibour	18	0	0	0	0
BSP65	Kalasa	Actibour	18	0	0	0	0
BSP65	Kalasa	Actibour	18	0	0	0	0
BSP65	Kalasa	Actibour	18	0	0	0	0
BSP65	Kalasa	Actibour	18	0	0	0	0
BSP65	Kalasa	Actibour	18	0	0	0	0
BSP65	Kalasa	Actibour	18	0	0	0	0
BSP65	Kalasa	Actibour	19	0	0	0	0
BSP65	Kalasa	Actibour	19	0	0	0	0
BSP65	Kalasa	Actibour	19	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	20	0	0	0	0
BSP65	Kalasa	Actibour	21	0	0	0	0
BSP65	Kalasa	Actibour	21	0	0	0	0
BSP65	Kalasa	Actibour	21	0	0	0	0
BSP65	Kalasa	Actibour	21	0	0	0	0
BSP65	Kalasa	Actibour	21	0	0	0	0
BSP65	Kalasa	Actibour	21	0	0	0	0
BSP65	Kalasa	Actibour	21	0	0	0	0
BSP65	Kalasa	Actibour	22	0	0	0	0
BSP65	Kalasa	Actibour	22	0	0	0	0
BSP65	Kalasa	Actibour	22	0	0	0	0
BSP65	Kalasa	Actibour	22	0	0	0	0
BSP65	Kalasa	Actibour	22	0	0	0	0
BSP65	Kalasa	Actibour	22	0	0	0	0
BSP65	Kalasa	Actibour	22	0	0	0	0
BSP65	Kalasa	Actibour	23	0	0	0	0
BSP65	Kalasa	Actibour	23	0	0	0	0
BSP65	Kalasa	Actibour	24	0	0	0	0
BSP65	Kalasa	Actibour	25	0	0	0	0
BSP65	Kalasa	Actibour	25	0	0	0	0
BSP65	Kalasa	Actibour	25	0	0	0	0
BSP65	Kalasa	Actibour	25	0	0	0	0
BSP65	Kalasa	Actibour	25	0	0	0	0
BSP65	Kalasa	Actibour	25	0	0	0	0
BSP65	Kalasa	Actibour	25	0	0	0	0
BSP65	Kalasa	Actibour	25	0	0	0	0
BSP65	Kalasa	Actibour	26	0	0	0	0
BSP65	Kalasa	Actibour	26	0	0	0	0
BSP65	Kalasa	Actibour	26	0	0	0	0
BSP65	Kalasa	Actibour	27	0	0	0	0
BSP65	Kalasa	Actibour	28	0	0	0	0
BSP65	Kalasa	Actibour	28	0	0	0	0
BSP65	Kalasa	Actibour	29	0	0	0	0
BSP65	Kalasa	Actibour	29	0	0	0	0
BSP65	Kalasa	Actibour	29	0	0	0	0
BSP65	Kalasa	Actibour	30	0	0	0	0
BSP65	Kalasa	Actibour	30	0	0	0	0
BSP65	Kalasa	Actibour	30	0	0	0	0
BSP65	Kalasa	Actibour	30	0	0	0	0
BSP65	Kalasa	Actibour	30	0	0	0	0
BSP65	Kalasa	Actibour	32	0	0	0	0
BSP65	Kalasa	Actibour	33	0	0	0	0
BSP65	Kalasa	Actibour	33	0	0	0	0
BSP65	Kalasa	Actibour	34	0	0	0	0
BSP65	Kalasa	Actibour	35	0	0	0	0
BSP65	Kalasa	Actibour	35	0	0	0	0
BSP65	Kalasa	Actibour	35	0	0	0	0
BSP65	Kalasa	Actibour	35	0	0	0	0
BSP65	Kalasa	Actibour	35	0	0	0	0
BSP65	Kalasa	Actibour	38	0	0	0	0
BSP65	Kalasa	Actibour	38	0	0	0	0
BSP65	Kalasa	Actibour	38	0	0	0	0
BSP65	Kalasa	Actibour	45	0	0	0	0
BSP65	Kalasa	Aglabarb	23	0	0	0	0
BSP65	Kalasa	Aglabarb	26	0	0	0	0
