PlotID	ForestDiv	LatDec	LongDec	Alt	CanoHt	CanoCov	Strata	Rain	DryMo	ForestType	Soil	StrucIntegr	FlorIntegr
BSP26	Honnavar	14.24639	74.66528	110	22	65	3	4661	6	PDH	S2	1	2
BSP27	Honnavar	14.24444	74.61306	135	25	50	3	4468	6	PDH	S2	1	1
BSP28	Honnavar	14.24944	74.63667	90	18	5	2	4550	6	PDH	S2	3	1
BSP29	Honnavar	14.24972	74.66194	290	25	70	4	4628	6	PDH	S2	1	1
BSP30	Honnavar	14.24528	74.66806	140	22	60	3	4661	6	PDH	S2	1	1
BSP31	Honnavar	14.25361	74.66944	310	18	55	2	4661	6	PDH	S2	1	2
BSP84	Honnavar	14.25083	74.66556	55	25	65	3	4661	6	PDH	S2	1	1
BSP88	Honnavar	14.52167	74.55694	160	30	70	4	5444	6	PDH	S8	1	1
BSP92	Honnavar	14.56417	74.56222	220	18	35	3	5583	6	PDH	S6	1	1
