PlotID	ForestDiv	SpCode	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP70	Koppa	Acaccaes	25	0	0	0	0
BSP70	Koppa	Acaccaes	25	0	0	0	0
BSP70	Koppa	Acaccaes	28	0	0	0	0
BSP70	Koppa	Acaccaes	38	0	0	0	0
BSP70	Koppa	Acaccaes	54	0	0	0	0
BSP70	Koppa	Acacsinu	22	0	0	0	0
BSP70	Koppa	Actimala	36	0	0	0	0
BSP70	Koppa	Aglabarb	15	0	0	0	0
BSP70	Koppa	Aglabarb	16	0	0	0	0
BSP70	Koppa	Aglabarb	165	0	0	0	0
BSP70	Koppa	Aglajain	29	0	0	0	0
BSP70	Koppa	Aglajain	50	0	0	0	0
BSP70	Koppa	Aglajain	60	0	0	0	0
BSP70	Koppa	Aglajain	100	0	0	0	0
BSP70	Koppa	Aglajain	155	0	0	0	0
BSP70	Koppa	Alansalv	15	0	0	0	0
BSP70	Koppa	Alansalv	15	0	0	0	0
BSP70	Koppa	Alansalv	16	0	0	0	0
BSP70	Koppa	Alansalv	20	0	0	0	0
BSP70	Koppa	Alansalv	20	0	0	0	0
BSP70	Koppa	Alansalv	20	0	0	0	0
BSP70	Koppa	Alansalv	21	0	0	0	0
BSP70	Koppa	Alansalv	21	0	0	0	0
BSP70	Koppa	Alansalv	23	0	0	0	0
BSP70	Koppa	Alansalv	25	0	0	0	0
BSP70	Koppa	Alansalv	25	0	0	0	0
BSP70	Koppa	Alansalv	27	0	0	0	0
BSP70	Koppa	Alansalv	28	0	0	0	0
BSP70	Koppa	Alansalv	30	0	0	0	0
BSP70	Koppa	Alansalv	30	0	0	0	0
BSP70	Koppa	Alansalv	30	0	0	0	0
BSP70	Koppa	Alansalv	31	0	0	0	0
BSP70	Koppa	Alansalv	40	0	0	0	0
BSP70	Koppa	Alansalv	40	0	0	0	0
BSP70	Koppa	Alansalv	40	0	0	0	0
BSP70	Koppa	Alansalv	40	0	0	0	0
BSP70	Koppa	Alansalv	40	0	0	0	0
BSP70	Koppa	Alansalv	40	0	0	0	0
